,y,starter,age,max_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,breakout_age,konami,supporting_cast,games_played_rate
0,0,0,26.7,57.4,,8.2,0.0,5.24,21.0,0.0,1.2083442485,0.4375
1,0,1,33.5,382.4,382.4,21.666666666666668,1.0,1.24,19.8,0.14583333333333334,1.0035154178999999,1.0
2,0,1,33.1,273.6,228.0,15.800000000000002,0.0,1.01,19.3,0.17499999999999996,1.1441696867,0.9583333333333334
3,0,1,29.6,268.8,268.8,17.03333333333333,0.0,2.03,20.9,0.2435897435897436,1.2083442485,0.9375
4,0,0,28.0,117.0,,10.2,0.0,,21.3,0.0,0.277540434,0.375
5,0,1,35.3,305.6,259.0,18.866666666666667,0.3333333333333333,1.11,19.5,0.023809523809523808,1.9794076242,0.875
6,0,0,27.6,136.8,78.6,12.066666666666668,0.0,1.1,19.9,0.15277777777777776,1.028203938,0.3125
7,0,1,25.4,332.8,281.6,17.166666666666668,0.3333333333333333,1.03,20.7,0.10416666666666667,1.106448229,0.9583333333333334
8,0,0,24.0,-0.4,-0.4,-0.1,0.0,5.11,19.2,0.0,1.0035154178999999,0.25
9,0,1,31.6,173.8,79.8,13.733333333333334,0.0,,,0.0,1.0529708056,0.6458333333333334
10,0,0,26.5,184.5,184.5,9.700000000000001,0.0,2.25,20.8,0.0861111111111111,0.8033221049,0.5625
11,0,0,26.0,37.2,37.2,6.2,0.0,4.04,22.3,0.0,0.2662623675,0.375
12,0,0,23.5,,,,,3.4,21.8,,0.0947646483,
13,1,1,28.1,398.4,264.0,20.333333333333332,0.3333333333333333,1.01,21.3,0.4384920634920635,0.5719568341,0.9375
14,0,1,37.4,320.0,250.5,18.166666666666668,0.3333333333333333,1.01,22.7,0.020833333333333332,1.028203938,0.7708333333333334
15,0,1,24.4,222.4,222.4,13.9,0.0,1.02,21.7,0.125,0.8253748931,1.0
16,0,1,29.299999999999997,122.0,122.0,11.199999999999998,0.0,,19.6,0.03333333333333333,0.9336590863,0.3541666666666667
17,0,0,31.9,162.0,-0.2,7.000000000000001,0.0,2.26,20.2,0.0,1.106448229,0.3958333333333333
18,0,0,30.700000000000003,11.8,0.6,2.1666666666666665,0.0,,19.9,0.0,1.874284162,0.10416666666666667
19,0,0,24.1,77.4,77.4,8.6,0.0,3.31,20.3,0.0,0.3425393674,0.5625
20,0,0,23.5,,,,,,20.8,,1.272160383,
21,0,1,23.8,291.2,291.2,18.2,0.0,4.37,20.1,0.375,1.272160383,1.0
22,0,0,26.7,0.9,0.9,0.9,0.0,6.07,21.9,0.0,0.7199928405,0.0625
23,0,1,21.4,,,,,2.2,19.7,,0.3425393674,
24,0,0,34.0,50.5,19.5,4.8,0.0,6.39,19.2,0.0,0.5719568341,0.2708333333333333
25,0,1,26.2,284.8,264.0,16.066666666666666,0.0,2.04,20.4,0.0,0.34877035840000004,0.9791666666666666
26,0,1,21.7,,,,,1.12,20.0,,0.7287257937999999,
27,0,1,38.4,347.2,347.2,20.933333333333334,1.0,2.01,19.6,0.08472222222222221,1.874284162,0.9791666666666666
28,0,0,33.1,98.1,12.5,4.5,0.0,2.11,20.3,0.0,1.028203938,0.4166666666666667
29,0,0,27.200000000000003,61.6,5.5,9.0,0.0,1.16,21.5,0.16666666666666666,0.34877035840000004,0.2708333333333333
30,0,1,36.4,300.8,240.0,17.166666666666668,0.3333333333333333,1.01,20.7,0.020833333333333332,0.84989761,1.0
31,0,0,26.7,163.8,9.0,12.4,0.0,2.07,19.9,0.023809523809523808,0.84989761,0.3541666666666667
32,0,1,24.5,28.2,28.2,9.4,0.0,3.29,21.7,0.3333333333333333,0.3953166294,0.1875
33,0,0,24.4,,,,,6.16,20.6,,0.425421046,
34,0,1,23.4,286.4,268.8,17.35,0.0,1.01,19.7,0.21875,0.7543707696999999,1.0
35,0,1,22.6,60.2,60.2,8.6,0.0,1.01,18.9,0.14285714285714285,0.823807037,0.4375
36,0,1,34.1,265.5,52.0,14.6,0.0,1.11,20.4,0.06666666666666667,0.7199928405,0.7291666666666666
37,0,0,25.6,34.8,34.8,2.6999999999999997,0.0,2.3,19.8,0.0,1.0529708056,0.3125
38,0,0,24.0,,,,,,,,1.0035154178999999,
39,0,1,32.4,275.2,249.6,16.666666666666668,0.0,1.18,21.6,0.18333333333333335,0.3353696014,0.875
40,0,0,30.6,1.6,0.4,0.5666666666666668,0.0,6.3,21.8,0.0,1.044655412,0.14583333333333334
41,0,1,37.9,140.8,56.0,13.5,0.0,3.16,,0.13257575757575757,0.2662623675,0.5
42,0,0,34.0,6.4,-0.1,1.1666666666666667,0.0,2.17,22.3,0.0,1.732971184,0.08333333333333333
43,0,0,24.6,18.6,18.6,6.2,0.0,5.25,20.9,0.3333333333333333,0.3425393674,0.1875
44,0,1,28.799999999999997,312.0,312.0,18.166666666666668,0.6666666666666666,4.07,21.0,0.1875,0.384924301,0.7916666666666666
45,0,0,28.200000000000003,35.7,35.7,4.4,0.0,4.18,21.4,0.0,1.9794076242,0.4375
46,0,1,23.6,268.5,268.5,17.85,0.0,1.02,18.9,0.15,1.149503421,0.84375
47,0,0,35.1,72.0,17.6,7.433333333333333,0.0,7.16,,0.0,1.149503421,0.3125
48,0,0,32.8,57.6,57.6,5.033333333333333,0.0,,22.1,0.0,1.1441696867,0.14583333333333334
49,0,1,32.1,350.4,350.4,18.633333333333333,0.3333333333333333,1.03,20.3,0.0,1.238299979,1.0
50,0,1,29.299999999999997,302.4,288.0,17.733333333333334,0.3333333333333333,1.01,19.6,0.10416666666666667,0.425421046,1.0
51,0,0,27.5,166.4,7.0,11.9,0.0,3.11,21.7,0.0,0.382557265,0.4166666666666667
52,0,1,22.8,,,,,1.02,22.0,,0.382557265,
53,0,0,23.7,,,,,6.12,19.9,,0.8253748931,
54,0,0,23.1,,,,,5.28,21.3,,1.044655412,
55,0,0,28.4,129.6,28.0,13.233333333333334,0.0,3.25,20.6,0.030303030303030304,0.8253748931,0.4375
56,0,0,21.7,,,,,1.1,19.0,,1.1441696867,
57,0,0,23.3,29.4,29.4,9.8,0.0,1.26,20.6,0.0,0.8033221049,0.1875
58,0,1,35.5,292.8,280.0,17.833333333333332,0.0,1.04,18.7,0.0,1.732971184,1.0
59,1,1,28.5,344.0,275.2,19.866666666666664,0.6666666666666666,3.12,19.8,0.16666666666666666,0.277540434,1.0
60,0,0,34.5,300.8,154.0,15.133333333333333,0.3333333333333333,7.36,20.8,0.09722222222222221,0.7543707696999999,0.875
61,0,0,29.0,74.9,-0.4,5.966666666666666,0.0,3.1,21.3,0.047619047619047616,0.3353696014,0.2916666666666667
62,0,0,29.6,226.5,226.5,15.0,0.0,1.01,19.8,0.0,0.9336590863,0.90625
63,0,0,29.799999999999997,11.0,11.0,2.7,0.0,,22.0,0.0,0.3953166294,0.125
64,0,0,25.1,1.2,-0.3,0.44999999999999996,0.0,3.25,20.4,0.0,0.823807037,0.0625
65,0,0,30.0,24.0,,3.8,0.0,5.21,23.3,0.0,1.044655412,0.15625
66,0,0,24.2,,,,,,19.5,,1.0529708056,
67,0,0,24.6,208.0,,13.7,0.0,1.32,18.8,0.13221153846153846,0.9336590863,0.90625
68,0,1,39.8,352.0,258.0,20.466666666666665,0.3333333333333333,6.33,21.1,0.0625,1.0529708056,0.9166666666666666
69,0,0,27.1,17.7,17.7,3.3000000000000003,0.0,4.35,23.4,0.0,0.7287257937999999,0.15625
70,0,1,25.4,196.0,196.0,6.95,0.0,,21.7,0.0,0.8033221049,0.46875
71,0,0,25.4,,,,,,18.7,,1.1441696867,
72,0,1,27.799999999999997,274.4,273.0,12.5,0.0,6.15,20.1,0.22857142857142856,1.044655412,0.625
0,0,0,27.7,57.4,2.6,4.75,0.0,5.24,21.0,0.0,0.43841489380000004,0.28125
1,1,1,34.5,382.4,135.8,20.7,0.75,1.24,19.8,0.10416666666666667,0.9203711711000001,0.8125
2,0,1,34.1,300.0,300.0,17.433333333333334,0.0,1.01,19.3,0.17500000000000002,0.35202614,0.9583333333333334
3,1,1,28.700000000000003,368.0,,20.6,0.6666666666666666,1.01,20.0,0.06666666666666667,0.1647881491,0.6875
4,0,1,30.6,268.8,222.4,16.666666666666668,0.0,2.03,20.9,0.16025641025641027,1.2658407537,0.9375
5,0,1,23.1,,,,,1.01,18.4,,0.979294445,
6,1,1,36.3,305.6,270.0,18.5,0.25,1.11,19.5,0.023809523809523808,1.4347483159,0.8541666666666666
7,0,0,28.6,136.8,65.5,14.433333333333335,0.0,1.1,19.9,0.15277777777777776,0.391666609,0.3958333333333333
8,0,1,26.4,332.8,256.0,18.133333333333336,0.25,1.03,20.7,0.14583333333333334,0.6828343385,1.0
9,0,0,34.6,68.4,,11.4,0.0,1.22,26.9,0.16666666666666666,1.453912719,0.375
10,0,0,32.6,173.8,68.0,11.966666666666667,0.0,,,0.03333333333333333,0.6030633473,0.5625
11,0,0,27.5,184.5,69.0,13.033333333333333,0.0,2.25,20.8,0.14166666666666664,0.3597320288,0.6041666666666666
12,0,0,24.5,94.8,94.8,15.8,0.0,3.4,21.8,0.5,0.0572145041,0.375
13,0,1,29.1,398.4,313.6,20.7,0.5,1.01,21.3,0.4444444444444444,1.1435146175,0.9791666666666666
14,0,1,25.4,280.8,280.8,17.75,0.0,1.02,21.7,0.0625,0.613854431,0.90625
15,0,1,30.299999999999997,243.0,243.0,12.433333333333332,0.0,,19.6,0.05555555555555556,0.282928595,0.625
16,0,0,32.9,162.0,-0.4,3.4666666666666672,0.0,2.26,20.2,0.0,1.882310745,0.375
17,0,0,24.2,,,,,7.35,21.4,,0.282928595,
18,0,0,31.700000000000003,11.8,-0.2,0.13333333333333333,0.0,,19.9,0.0,0.210312202,0.08333333333333333
19,0,0,25.1,77.4,3.9,4.95,0.0,3.31,20.3,0.0,0.6828343385,0.375
20,0,0,31.799999999999997,66.0,,4.4,0.0,3.21,20.0,0.0,0.35202614,0.125
21,0,1,24.8,291.2,273.6,17.65,0.0,4.37,20.1,0.375,1.121162168,1.0
22,0,0,22.4,198.0,198.0,13.2,0.0,2.2,19.7,0.3333333333333333,0.9203711711000001,0.9375
23,0,0,35.0,50.5,0.6,1.5,0.0,6.39,19.2,0.0,0.43841489380000004,0.22916666666666666
24,0,1,27.2,284.8,213.0,16.533333333333335,0.0,2.04,20.4,0.0,0.1514303575,0.9583333333333334
25,1,1,22.7,172.9,172.9,24.7,0.0,1.12,20.0,0.2857142857142857,1.453912719,0.4375
26,1,1,39.4,347.2,270.4,19.9,0.75,2.01,19.6,0.10555555555555556,2.4631804674,0.9791666666666666
27,0,1,37.4,300.8,201.0,15.733333333333333,0.25,1.01,20.7,0.022222222222222223,1.4860026805,0.9791666666666666
28,0,0,26.9,,,,,6.38,22.1,,1.1435146175,
29,0,0,27.7,163.8,9.6,10.1,0.0,2.07,19.9,0.0,1.7302943713,0.10416666666666667
30,0,0,25.5,212.8,212.8,11.350000000000001,0.0,3.29,21.7,0.29166666666666663,0.1647881491,0.59375
31,0,1,24.4,286.4,210.6,16.96666666666667,0.0,1.01,19.7,0.17147435897435895,0.9871694123,0.9375
32,1,1,23.6,262.5,262.5,13.05,0.0,1.01,18.9,0.10476190476190475,2.7133516,0.6875
33,0,0,25.1,,,,,6.32,18.4,,1.2658407537,
34,0,1,26.6,91.8,91.8,7.0,0.0,2.3,19.8,0.05555555555555555,0.0572145041,0.3333333333333333
35,0,1,33.4,275.2,196.8,15.033333333333331,0.0,1.18,21.6,0.1625,0.3011904777,0.875
36,0,0,31.6,5.7,5.7,0.6666666666666666,0.0,6.3,21.8,0.0,1.453912719,0.1875
37,0,1,22.0,,,,,1.07,20.3,,0.43841489380000004,
38,0,0,32.1,2.0,,1.0,0.0,5.25,19.3,0.0,0.1514303575,0.125
