,Full Name,0,1,Position,Team
0,Mike Evans,0.18927759,0.8107224,WR,Tampa Bay Buccaneers
1,Devonta Freeman,0.23485506,0.76514494,RB,Atlanta Falcons
2,Ezekiel Elliott,0.24590313,0.75409687,RB,Dallas Cowboys
3,Julio Jones,0.2802927,0.7197073,WR,Atlanta Falcons
4,Odell Beckham,0.2833628,0.7166372,WR,New York Giants
5,Brandin Cooks,0.28890944,0.71109056,WR,New England Patriots
6,Jarvis Landry,0.2913167,0.7086833,WR,Miami Dolphins
7,Todd Gurley,0.29599893,0.70400107,RB,Los Angeles Rams
8,T.Y. Hilton,0.29635543,0.7036446,WR,Indianapolis Colts
9,Michael Thomas,0.3128389,0.6871611,WR,New Orleans Saints
10,DeMarco Murray,0.31440312,0.6855969,RB,Tennessee Titans
11,David Johnson,0.32670134,0.67329866,RB,Arizona Cardinals
12,Antonio Brown,0.33438748,0.6656125,WR,Pittsburgh Steelers
13,Le'Veon Bell,0.3346141,0.6653859,RB,Pittsburgh Steelers
14,Amari Cooper,0.3350541,0.6649459,WR,Dallas Cowboys
15,Mark Ingram,0.33638495,0.66361505,RB,New Orleans Saints
16,Allen Robinson,0.3433631,0.6566369,WR,Jacksonville Jaguars
17,Golden Tate,0.37220877,0.6277912,WR,Detroit Lions
18,DeAndre Hopkins,0.39286113,0.6071389,WR,Houston Texans
19,Travis Kelce,0.40057856,0.59942144,TE,Kansas City Chiefs
20,Doug Baldwin,0.40970743,0.5902926,WR,Seattle Seahawks
21,Tyreek Hill,0.4212088,0.5787912,WR,Kansas City Chiefs
22,LeSean McCoy,0.43204498,0.567955,RB,Buffalo Bills
23,Jordan Howard,0.46984106,0.53015894,RB,Chicago Bears
24,Kelvin Benjamin,0.5059046,0.49409539,WR,Carolina Panthers
25,Melvin Gordon,0.5147132,0.48528677,RB,Los Angeles Chargers
26,Jordy Nelson,0.5579018,0.4420982,WR,Green Bay Packers
27,Demaryius Thomas,0.5642704,0.43572965,WR,Denver Broncos
28,Sterling Shepard,0.57360005,0.42639992,WR,New York Giants
29,Davante Adams,0.57528746,0.4247125,WR,Green Bay Packers
30,Larry Fitzgerald,0.58029276,0.41970724,WR,Arizona Cardinals
31,Zach Ertz,0.6141087,0.38589135,TE,Philadelphia Eagles
32,Duke Johnson,0.6150253,0.3849747,RB,Cleveland Browns
33,Leonard Fournette,0.61870635,0.38129362,RB,Jacksonville Jaguars
34,Jamison Crowder,0.6346154,0.36538455,WR,Washington Commanders
35,Stefon Diggs,0.63825816,0.36174184,WR,Minnesota Vikings
36,Rob Gronkowski,0.6480731,0.3519269,TE,New England Patriots
37,Corey Davis,0.6690984,0.33090165,WR,Tennessee Titans
38,Tevin Coleman,0.67790425,0.32209572,RB,Atlanta Falcons
39,Marvin Jones,0.6945022,0.30549783,WR,Detroit Lions
40,Christian McCaffrey,0.7163737,0.28362635,RB,Carolina Panthers
41,Adam Thielen,0.71799946,0.28200057,WR,Minnesota Vikings
42,Alshon Jeffery,0.7189684,0.28103164,WR,Philadelphia Eagles
43,Randall Cobb,0.7217493,0.2782507,WR,Green Bay Packers
44,Michael Crabtree,0.7339772,0.26602277,WR,Las Vegas Raiders
45,Lamar Miller,0.73406863,0.2659314,RB,Houston Texans
46,Jordan Matthews,0.73490095,0.26509902,TE,Buffalo Bills
47,Carlos Hyde,0.74718666,0.25281337,RB,San Francisco 49ers
48,Sammy Watkins,0.7576327,0.24236731,WR,Los Angeles Rams
49,Tavon Austin,0.7644492,0.23555084,RB,Los Angeles Rams
50,Tyler Lockett,0.7690843,0.23091571,WR,Seattle Seahawks
51,Terrance West,0.78509027,0.21490975,RB,Baltimore Ravens
52,Jeremy Hill,0.7882168,0.21178314,RB,Cincinnati Bengals
53,Emmanuel Sanders,0.7896881,0.21031186,WR,Denver Broncos
54,Jay Ajayi,0.7902155,0.2097845,RB,Philadelphia Eagles
55,Dalvin Cook,0.80217916,0.19782084,RB,Minnesota Vikings
56,Cordarrelle Patterson,0.8041475,0.19585255,RB,Las Vegas Raiders
57,Kareem Hunt,0.80771804,0.19228199,RB,Kansas City Chiefs
58,Tyler Boyd,0.809062,0.19093803,WR,Cincinnati Bengals
59,Dez Bryant,0.81759936,0.18240063,WR,Dallas Cowboys
60,Willie Snead,0.8190755,0.18092446,WR,New Orleans Saints
61,Kenny Stills,0.8199849,0.18001509,WR,Miami Dolphins
62,Keenan Allen,0.82009906,0.17990094,WR,Los Angeles Chargers
63,Kenny Britt,0.82333344,0.17666654,WR,Cleveland Browns
64,Joe Mixon,0.8273705,0.1726295,RB,Cincinnati Bengals
65,Alvin Kamara,0.8273705,0.1726295,RB,New Orleans Saints
66,Jeremy Kerley,0.8326401,0.16735989,WR,New York Jets
67,Devontae Booker,0.83513206,0.16486795,RB,Denver Broncos
68,A.J. Green,0.8378036,0.16219643,WR,Cincinnati Bengals
69,DeVante Parker,0.83869547,0.16130455,WR,Miami Dolphins
70,T.J. Yeldon,0.8453427,0.1546573,RB,Jacksonville Jaguars
71,John Ross,0.845936,0.15406398,WR,Cincinnati Bengals
72,Jeremy Maclin,0.8499453,0.15005472,WR,Baltimore Ravens
73,Rishard Matthews,0.8542942,0.14570583,WR,Tennessee Titans
74,Ty Montgomery,0.858412,0.14158797,RB,Green Bay Packers
75,Brandon Marshall,0.8622422,0.1377578,WR,New York Giants
76,Derrick Henry,0.8649799,0.13502009,RB,Tennessee Titans
77,Tyrell Williams,0.8661847,0.13381532,WR,Los Angeles Chargers
78,Darren McFadden,0.86818683,0.1318132,RB,Dallas Cowboys
79,Kyle Rudolph,0.86924684,0.13075316,TE,Minnesota Vikings
80,Mohamed Sanu,0.87125355,0.12874644,WR,Atlanta Falcons
81,JuJu Smith-Schuster,0.8780442,0.121955805,WR,Pittsburgh Steelers
82,Curtis Samuel,0.8780442,0.121955805,WR,Carolina Panthers
83,Jordan Reed,0.8813653,0.11863468,TE,Washington Commanders
84,Travis Benjamin,0.88260293,0.11739706,WR,Los Angeles Chargers
85,David Njoku,0.88405466,0.11594536,TE,Cleveland Browns
86,Isaiah Crowell,0.8854543,0.1145457,RB,Cleveland Browns
87,Eric Ebron,0.8864978,0.11350223,TE,Detroit Lions
88,Pierre Garcon,0.88675314,0.11324685,WR,Washington Commanders
89,Greg Olsen,0.88953733,0.11046267,TE,Carolina Panthers
90,Coby Fleener,0.8922098,0.107790194,TE,New Orleans Saints
91,Bilal Powell,0.8998605,0.10013951,RB,New York Jets
92,Vernon Davis,0.90060425,0.099395745,TE,Washington Commanders
93,Matt Forte,0.901378,0.09862201,RB,New York Jets
94,Latavius Murray,0.9023106,0.097689375,RB,Minnesota Vikings
95,C.J. Fiedorowicz,0.9023326,0.097667396,TE,Houston Texans
96,Devin Funchess,0.9027929,0.09720713,WR,Carolina Panthers
97,Breshad Perriman,0.9045907,0.095409244,WR,Baltimore Ravens
98,Frank Gore,0.9060804,0.09391957,RB,Indianapolis Colts
99,Will Fuller,0.9062221,0.09377788,WR,Houston Texans
100,Chris Godwin,0.9067262,0.093273796,WR,Tampa Bay Buccaneers
101,Marshawn Lynch,0.906843,0.093157,RB,Las Vegas Raiders
102,Terrance Williams,0.9076613,0.092338696,WR,Dallas Cowboys
103,James White,0.90822685,0.09177315,RB,New England Patriots
104,Mike Williams,0.91096073,0.08903925,WR,Los Angeles Chargers
105,Brandon LaFell,0.91175926,0.088240735,WR,Cincinnati Bengals
106,Donte Moncrief,0.9131335,0.08686651,WR,Indianapolis Colts
107,Delanie Walker,0.91579884,0.084201135,TE,Tennessee Titans
108,Marqise Lee,0.9166819,0.08331812,WR,Jacksonville Jaguars
109,Chris Thompson,0.91816497,0.08183506,RB,Washington Commanders
110,Chris Thompson,0.91816497,0.08183506,WR,-
111,Robert Woods,0.9189394,0.081060566,WR,Los Angeles Rams
112,J.J. Nelson,0.9190211,0.08097886,WR,Arizona Cardinals
113,John Brown,0.9215817,0.07841831,WR,Arizona Cardinals
114,Corey Coleman,0.92184466,0.07815536,WR,Cleveland Browns
115,Giovani Bernard,0.92285335,0.07714667,RB,Cincinnati Bengals
116,Evan Engram,0.9231979,0.07680207,TE,New York Giants
117,O.J. Howard,0.9231979,0.07680207,TE,Tampa Bay Buccaneers
118,Chris Conley,0.92583084,0.07416914,WR,Jacksonville Jaguars
119,Jimmy Graham,0.9297416,0.07025836,TE,Seattle Seahawks
120,Zay Jones,0.93062854,0.069371454,WR,Buffalo Bills
121,Charles Clay,0.9337624,0.066237636,TE,Buffalo Bills
122,Tyler Eifert,0.93485004,0.06514998,TE,Cincinnati Bengals
123,Jason Witten,0.9350247,0.06497532,TE,Dallas Cowboys
124,D'Onta Foreman,0.9361219,0.06387813,RB,Houston Texans
125,Charles Sims,0.9376265,0.062373493,RB,Tampa Bay Buccaneers
126,Mike Wallace,0.9391255,0.06087451,WR,Baltimore Ravens
127,Adam Shaheen,0.9403397,0.059660304,TE,Chicago Bears
128,Gerald Everett,0.9403397,0.059660304,TE,Los Angeles Rams
129,Phillip Dorsett,0.94050664,0.059493355,WR,New England Patriots
130,Hunter Henry,0.9420532,0.05794682,TE,Los Angeles Chargers
131,LeGarrette Blount,0.9425167,0.057483308,RB,Philadelphia Eagles
